dataset,random_seed,forecast_model,cf_model,horizon,desired_change,fraction_std,forecast_smape,forecast_mase,validity_ratio,proximity,compactness,step_validity_auc
cif2016,39,nbeats,ForecastCF,12,-0.1,1.0,11.060504858335745,1.6652246934992538,0.6929012345679012,0.3180672142880404,0.3077160493827161,0.5646219135802469
cif2016,39,nbeats,BaseShift,12,-0.1,1.0,11.060504858335745,1.6652246934992538,0.4562114197530864,0.2653547826709218,0.09074074074074075,0.14699074074074073
cif2016,39,nbeats,BaseNN,12,-0.1,1.0,11.060504858335745,1.6652246934992538,0.5667438271604938,1.3636964561530551,0.022376543209876542,0.2677469135802469
cif2016,39,wavenet,ForecastCF,12,-0.1,1.0,9.229029622886715,1.3340127061485476,0.7245370370370371,0.3908242737772825,0.5509259259259259,0.6326195987654321
cif2016,39,wavenet,BaseShift,12,-0.1,1.0,9.229029622886715,1.3340127061485476,0.43557098765432095,0.2653547826709218,0.09074074074074075,0.08043981481481481
cif2016,39,wavenet,BaseNN,12,-0.1,1.0,9.229029622886715,1.3340127061485476,0.31095679012345673,1.3636964561530551,0.022376543209876542,0.08921682098765432
cif2016,39,seq2seq,ForecastCF,12,-0.1,1.0,11.431560400721766,1.6217066261339284,0.7681327160493827,0.10895993042774486,0.7470679012345679,0.6463155864197531
cif2016,39,seq2seq,BaseShift,12,-0.1,1.0,11.431560400721766,1.6217066261339284,0.5254629629629629,0.2653547826709218,0.09074074074074075,0.4261188271604938
cif2016,39,seq2seq,BaseNN,12,-0.1,1.0,11.431560400721766,1.6217066261339284,0.47453703703703703,1.3636964561530551,0.022376543209876542,0.1896219135802469
cif2016,39,gru,ForecastCF,12,-0.1,1.0,11.035120740527384,1.5141319376568336,0.7438271604938271,0.13532654020215593,0.6054012345679012,0.5964506172839507
cif2016,39,gru,BaseShift,12,-0.1,1.0,11.035120740527384,1.5141319376568336,0.5478395061728395,0.2653547826709218,0.09074074074074075,0.35021219135802467
cif2016,39,gru,BaseNN,12,-0.1,1.0,11.035120740527384,1.5141319376568336,0.46141975308641975,1.3636964561530551,0.022376543209876542,0.22048611111111113
cif2016,39,nbeats,ForecastCF,12,-0.2,1.0,11.060504858335745,1.6652246934992538,0.6653163580246912,0.35201229129387523,0.31203703703703706,0.5128279320987654
cif2016,39,nbeats,BaseShift,12,-0.2,1.0,11.060504858335745,1.6652246934992538,0.42959104938271603,0.5307095653418435,0.04537037037037037,0.09712577160493827
cif2016,39,nbeats,BaseNN,12,-0.2,1.0,11.060504858335745,1.6652246934992538,0.5815972222222222,1.2436180174959977,0.027623456790123457,0.23582175925925927
cif2016,39,wavenet,ForecastCF,12,-0.2,1.0,9.229029622886715,1.3340127061485476,0.6730324074074074,0.4486359358898672,0.5080246913580246,0.5583526234567902
cif2016,39,wavenet,BaseShift,12,-0.2,1.0,9.229029622886715,1.3340127061485476,0.41705246913580246,0.5307095653418435,0.04537037037037037,0.046392746913580245
cif2016,39,wavenet,BaseNN,12,-0.2,1.0,9.229029622886715,1.3340127061485476,0.32175925925925924,1.2436180174959977,0.027623456790123457,0.1371527777777778
cif2016,39,seq2seq,ForecastCF,12,-0.2,1.0,11.431560400721766,1.6217066261339284,0.7386188271604939,0.1327407180145537,0.6939814814814815,0.6084104938271605
cif2016,39,seq2seq,BaseShift,12,-0.2,1.0,11.431560400721766,1.6217066261339284,0.48649691358024694,0.5307095653418435,0.04537037037037037,0.2526041666666667
cif2016,39,seq2seq,BaseNN,12,-0.2,1.0,11.431560400721766,1.6217066261339284,0.49980709876543217,1.2436180174959977,0.027623456790123457,0.31886574074074076
cif2016,39,gru,ForecastCF,12,-0.2,1.0,11.035120740527384,1.5141319376568336,0.7212577160493828,0.1797044637348425,0.5359567901234569,0.5583526234567902
cif2016,39,gru,BaseShift,12,-0.2,1.0,11.035120740527384,1.5141319376568336,0.48842592592592593,0.5307095653418435,0.04537037037037037,0.19309413580246917
cif2016,39,gru,BaseNN,12,-0.2,1.0,11.035120740527384,1.5141319376568336,0.5021219135802469,1.2436180174959977,0.027623456790123457,0.2855902777777778
cif2016,39,nbeats,ForecastCF,12,-0.3,1.0,11.060504858335745,1.6652246934992538,0.6151620370370371,0.3862728890413805,0.34197530864197534,0.4174382716049383
cif2016,39,nbeats,BaseShift,12,-0.3,1.0,11.060504858335745,1.6652246934992538,0.3962191358024692,0.7960643480127656,0.03441358024691358,0.05507330246913579
cif2016,39,nbeats,BaseNN,12,-0.3,1.0,11.060504858335745,1.6652246934992538,0.5597993827160493,1.247119168638835,0.02592592592592593,0.23832947530864199
cif2016,39,wavenet,ForecastCF,12,-0.3,1.0,9.229029622886715,1.3340127061485476,0.5908564814814815,0.5106822923379792,0.4714506172839506,0.43856095679012347
cif2016,39,wavenet,BaseShift,12,-0.3,1.0,9.229029622886715,1.3340127061485476,0.36902006172839513,0.7960643480127656,0.03441358024691358,0.014274691358024689
cif2016,39,wavenet,BaseNN,12,-0.3,1.0,9.229029622886715,1.3340127061485476,0.293016975308642,1.247119168638835,0.02592592592592593,0.13377700617283947
