dataset,random_seed,forecast_model,cf_model,horizon,desired_change,fraction_std,forecast_smape,forecast_mase,validity_ratio,proximity,compactness,step_validity_auc
cif2016,39,nbeats,ForecastCF,12,0.1,0.25,11.060504858335745,1.6652246934992538,0.21450617283950618,0.37520351821159764,0.4924382716049383,0.04070216049382716
cif2016,39,nbeats,BaseShift,12,0.1,0.25,11.060504858335745,1.6652246934992538,0.09972993827160492,0.26535478267092205,0.09074074074074075,0.005787037037037036
cif2016,39,nbeats,BaseNN,12,0.1,0.25,11.060504858335745,1.6652246934992538,0.15875771604938274,1.5184418267151818,0.017592592592592597,0.027970679012345675
cif2016,39,wavenet,ForecastCF,12,0.1,0.25,9.229029622886715,1.3340127061485476,0.24228395061728392,0.4195355483705271,0.487037037037037,0.06934799382716049
cif2016,39,wavenet,BaseShift,12,0.1,0.25,9.229029622886715,1.3340127061485476,0.08603395061728394,0.26535478267092205,0.09074074074074075,0.0030864197530864196
cif2016,39,wavenet,BaseNN,12,0.1,0.25,9.229029622886715,1.3340127061485476,0.03665123456790123,1.5184418267151818,0.017592592592592597,0.0014467592592592592
cif2016,39,seq2seq,ForecastCF,12,0.1,0.25,11.431560400721766,1.6217066261339284,0.3823302469135803,0.21523203133204344,0.6885802469135803,0.1253858024691358
cif2016,39,seq2seq,BaseShift,12,0.1,0.25,11.431560400721766,1.6217066261339284,0.14930555555555555,0.26535478267092205,0.09074074074074075,0.014467592592592593
cif2016,39,seq2seq,BaseNN,12,0.1,0.25,11.431560400721766,1.6217066261339284,0.13831018518518517,1.5184418267151818,0.017592592592592597,0.0015432098765432098
cif2016,39,gru,ForecastCF,12,0.1,0.25,11.035120740527384,1.5141319376568336,0.38213734567901236,0.213651628376447,0.7564814814814814,0.1369598765432099
cif2016,39,gru,BaseShift,12,0.1,0.25,11.035120740527384,1.5141319376568336,0.15605709876543208,0.26535478267092205,0.09074074074074075,0.030381944444444444
cif2016,39,gru,BaseNN,12,0.1,0.25,11.035120740527384,1.5141319376568336,0.12384259259259259,1.5184418267151818,0.017592592592592597,0.005787037037037037
cif2016,39,nbeats,ForecastCF,12,0.1,0.5,11.060504858335745,1.6652246934992538,0.49035493827160487,0.37610555043330424,0.4324074074074074,0.300733024691358
cif2016,39,nbeats,BaseShift,12,0.1,0.5,11.060504858335745,1.6652246934992538,0.18942901234567902,0.26535478267092205,0.09074074074074075,0.013310185185185184
cif2016,39,nbeats,BaseNN,12,0.1,0.5,11.060504858335745,1.6652246934992538,0.3097993827160494,1.5184418267151818,0.017592592592592597,0.07783564814814814
cif2016,39,wavenet,ForecastCF,12,0.1,0.5,9.229029622886715,1.3340127061485476,0.5513117283950618,0.4065053513421856,0.5271604938271606,0.410204475308642
cif2016,39,wavenet,BaseShift,12,0.1,0.5,9.229029622886715,1.3340127061485476,0.16608796296296297,0.26535478267092205,0.09074074074074075,0.007523148148148147
cif2016,39,wavenet,BaseNN,12,0.1,0.5,9.229029622886715,1.3340127061485476,0.08757716049382715,1.5184418267151818,0.017592592592592597,0.0016396604938271604
cif2016,39,seq2seq,ForecastCF,12,0.1,0.5,11.431560400721766,1.6217066261339284,0.6381172839506172,0.20101120880951043,0.5524691358024691,0.41927083333333337
cif2016,39,seq2seq,BaseShift,12,0.1,0.5,11.431560400721766,1.6217066261339284,0.2829861111111111,0.26535478267092205,0.09074074074074075,0.07619598765432098
cif2016,39,seq2seq,BaseNN,12,0.1,0.5,11.431560400721766,1.6217066261339284,0.2951388888888889,1.5184418267151818,0.017592592592592597,0.038097993827160496
cif2016,39,gru,ForecastCF,12,0.1,0.5,11.035120740527384,1.5141319376568336,0.6172839506172839,0.21033283553250437,0.6344135802469137,0.39130015432098764
cif2016,39,gru,BaseShift,12,0.1,0.5,11.035120740527384,1.5141319376568336,0.2926311728395062,0.26535478267092205,0.09074074074074075,0.11564429012345678
cif2016,39,gru,BaseNN,12,0.1,0.5,11.035120740527384,1.5141319376568336,0.24575617283950615,1.5184418267151818,0.017592592592592597,0.045717592592592594
cif2016,39,nbeats,ForecastCF,12,0.1,0.75,11.060504858335745,1.6652246934992538,0.6261574074074074,0.3441136361627199,0.36157407407407405,0.4888117283950617
cif2016,39,nbeats,BaseShift,12,0.1,0.75,11.060504858335745,1.6652246934992538,0.28163580246913583,0.26535478267092205,0.09074074074074075,0.02980324074074074
cif2016,39,nbeats,BaseNN,12,0.1,0.75,11.060504858335745,1.6652246934992538,0.433641975308642,1.5184418267151818,0.017592592592592597,0.1724537037037037
cif2016,39,wavenet,ForecastCF,12,0.1,0.75,9.229029622886715,1.3340127061485476,0.6711033950617283,0.37338313214928814,0.5725308641975309,0.5499614197530864
cif2016,39,wavenet,BaseShift,12,0.1,0.75,9.229029622886715,1.3340127061485476,0.25713734567901236,0.26535478267092205,0.09074074074074075,0.025655864197530864
cif2016,39,wavenet,BaseNN,12,0.1,0.75,9.229029622886715,1.3340127061485476,0.16859567901234568,1.5184418267151818,0.017592592592592597,0.0039544753086419755
cif2016,39,seq2seq,ForecastCF,12,0.1,0.75,11.431560400721766,1.6217066261339284,0.7374614197530865,0.17285204274998878,0.5229938271604938,0.5961612654320988
cif2016,39,seq2seq,BaseShift,12,0.1,0.75,11.431560400721766,1.6217066261339284,0.39467592592592593,0.26535478267092205,0.09074074074074075,0.16464120370370372
cif2016,39,seq2seq,BaseNN,12,0.1,0.75,11.431560400721766,1.6217066261339284,0.42766203703703703,1.5184418267151818,0.017592592592592597,0.144483024691358
